Date,Station,Code,Max_Temp_C,Max_Depart,Min_Temp_C,Min_Depart,Humidity_%,Lat,Lon
2024-01-05,Kanpur Airforce,53.0,18.8,,14.6,,87.0,26.4167,80.3833
2024-01-05,Chamba,8205.0,,,3.0,0.0,,32.55,76.1167
2024-01-05,Faridabad,10001.0,,,,,,28.3833,77.3
2024-01-05,Bhadrak (Ranital),10002.0,28.2,0.0,,,54.0,21.05,86.4833
2024-01-05,Hamirpur,11001.0,,,,,,31.6833,76.5167
2024-01-05,Bokaro,13001.0,,,12.5,1.0,,23.65,86.15
2024-01-05,Deogarh,13002.0,,,11.5,,,24.4667,86.6833
2024-01-05,Giridih,13003.0,,,12.0,,,24.1833,86.3
2024-01-05,Thane,18001.0,,,,,,19.2167,72.9667
2024-01-05,Champhai,19001.0,,,,,,23.45,93.3167
2024-01-05,Kohima-Dimapur,21001.0,,,,,,25.9,93.7167
2024-01-05,Mokokchung,21002.0,,,,,,26.3833,94.5167
2024-01-05,Bhabanipatna,23001.0,28.5,1.0,13.5,3.0,56.0,19.8833,83.15
2024-01-05,Mangan,26001.0,21.6,,7.3,0.0,79.0,27.4833,88.5333
2024-01-05,Gyalsingh,26002.0,15.5,,6.2,,81.0,27.2833,88.25
2024-01-05,Namchi,26003.0,18.2,,6.8,,70.0,27.1667,88.3667
2024-01-05,Pakyong,26004.0,,,5.8,,,27.2167,88.5833
2024-01-05,Soreng,26005.0,,,,,,27.1667,88.1833
2024-01-05,Tawang,30001.0,8.6,,,,93.0,,
2024-01-05,Anni,30002.0,,,,,,28.7833,95.9
2024-01-05,Diskit Nubra,30003.0,4.9,,-8.4,,12.0,34.55,77.5333
2024-01-05,Patanitop,30004.0,,,2.8,,,33.0833,75.3333
2024-01-05,Mathura Vrindavan,30005.0,15.4,,12.8,,100.0,27.55,77.65
2024-01-05,Ooty,30006.0,17.9,,11.2,,90.0,11.4,76.6833
2024-01-05,Bekal,30007.0,,,,,,12.4167,75.0167
2024-01-05,Kollam,30008.0,,,,,,8.8833,76.6
2024-01-05,Varkala,30010.0,34.0,,,,70.0,8.7333,76.7
2024-01-05,Wayanand,30011.0,25.4,,19.6,,,11.6833,76.1167
2024-01-05,Chitrakoot,30012.0,,,,,,25.15,80.85
2024-01-05,Orchha,30013.0,,,,,,25.3667,78.6167
2024-01-05,Sanchi,30014.0,,,,,,23.4833,77.7333
2024-01-05,mamallapuram,30016.0,,,,,,12.6167,80.1833
2024-01-05,Rameshwaram,30017.0,,,,,,9.2833,79.3167
2024-01-05,Kumbalgarh,30021.0,,,,,,25.15,73.5833
2024-01-05,Lachung,30023.0,,,,,,27.6833,88.7333
2024-01-05,Pelling,30024.0,,,,,,27.3167,88.2333
2024-01-05,Panipat,30025.0,10.4,,7.5,,99.0,29.3833,76.95
2024-01-05,Baidyanath Dham,30026.0,,,11.5,,,24.4833,86.7
2024-01-05,Bodhgaya,30027.0,23.2,1.0,10.6,3.0,73.0,24.6833,84.9833
2024-01-05,Palakkad,30029.0,30.6,-1.0,22.9,1.0,61.0,10.7833,76.65
2024-01-05,Champawat,31001.0,,,4.2,,,29.3333,80.0833
2024-01-05,Chinchwad,31002.0,31.0,2.0,17.6,7.0,28.0,18.6167,73.7833
2024-01-05,Magarpatta,31003.0,30.1,1.0,19.3,9.0,32.0,18.5,73.9167
2024-01-05,Lavale,31004.0,33.0,4.0,18.4,8.0,38.0,18.5167,73.7167
2024-01-05,Barpeta,40001.0,,,,,,26.3167,90.9833
2024-01-05,Tapovan,40062.0,,,,,,30.4833,79.6333
2024-01-05,Gulmarg,42026.0,,,-3.5,3.0,,34.05,74.4
2024-01-05,Srinagar-City,42027.0,10.6,4.0,-3.0,-1.0,75.0,34.0833,74.8333
2024-01-05,Pahalgam,42028.0,10.1,6.0,-4.5,2.0,61.0,34.0167,75.3167
2024-01-05,Kupwara,42031.0,11.7,5.0,-2.6,0.0,55.0,34.4167,74.3
2024-01-05,Leh,42034.0,-0.4,,-10.5,,22.0,34.15,77.5667
2024-01-05,Batote,42043.0,13.6,3.0,3.0,2.0,44.0,33.1167,75.3167
2024-01-05,Qazigund,42044.0,10.2,3.0,-3.0,0.0,50.0,33.5833,75.0833
2024-01-05,Banihal,42045.0,15.6,4.0,-0.4,-1.0,50.0,33.5,75.1667
2024-01-05,Kukernag,42046.0,8.4,4.0,-2.0,1.0,54.0,33.3333,74.5
2024-01-05,Bhaderwah,42048.0,13.1,1.0,0.2,1.0,57.0,32.9833,75.7167
2024-01-05,Katra,42054.0,17.5,1.0,6.1,0.0,78.0,33.0,74.9
2024-01-05,Jammu-City,42056.0,10.6,-7.0,5.1,-2.0,81.0,32.7333,74.8667
2024-01-05,Pathankot,42057.0,,,6.8,,,32.25,75.6333
2024-01-05,Dalhousie,42059.0,,,4.1,1.0,,32.5333,75.9667
2024-01-05,Dharamshala,42062.0,19.2,4.0,6.2,0.0,78.0,32.2667,76.3833
2024-01-05,Keylong,42063.0,,,,,,32.9667,77.05
2024-01-05,Manali,42065.0,,,,,,32.2667,77.1667
2024-01-05,Kalpa,42066.0,10.3,5.0,-1.8,1.0,54.0,31.5167,78.2667
2024-01-05,Amritsar,42071.0,11.4,-6.0,6.6,3.0,95.0,31.6333,74.8667
2024-01-05,Kapurthala,42074.0,,,,,,31.3333,75.3333
2024-01-05,Jalandhar,42075.0,,,6.6,1.0,,31.4667,75.5833
2024-01-05,Kangra,42076.0,,,3.7,0.0,,32.1,76.2667
2024-01-05,Una,42077.0,19.4,0.0,1.5,-2.0,56.0,31.4667,76.2667
2024-01-05,Sundernagar,42079.0,21.0,4.0,0.5,-2.0,57.0,31.5333,76.8833
2024-01-05,Bilaspur,42080.0,,,,,,31.25,76.6667
2024-01-05,Kullu,42081.0,18.2,3.0,-0.9,-2.0,45.0,31.8333,77.1667
2024-01-05,Shimla-City,42083.0,13.2,2.0,4.0,1.0,54.0,31.1,77.1667
2024-01-05,Shimla-Airport,42084.0,,,5.2,,,31.0833,77.05
2024-01-05,Ferozepore,42096.0,,,,,,30.9167,74.6667
2024-01-05,Bhatinda,42097.0,13.4,-7.0,6.0,2.0,,30.1667,74.5833
2024-01-05,Ludhiana,42099.0,11.0,-6.0,6.6,0.0,92.0,30.9333,75.8667
2024-01-05,Patiala,42101.0,10.5,-8.0,6.3,0.0,95.0,30.3333,76.4667
2024-01-05,Ambala,42103.0,10.8,-7.0,6.6,0.0,95.0,30.3833,76.7667
2024-01-05,Nahan,42104.0,18.3,2.0,6.6,1.0,56.0,30.5667,77.2833
2024-01-05,Chandigarh-City,42105.0,16.4,-5.0,6.7,-1.0,88.0,30.7333,76.7667
2024-01-05,Chandigarh,42105.0,16.4,-5.0,6.7,-1.0,88.0,30.7333,76.7667
2024-01-05,Solan,42106.0,,,1.0,-1.0,,30.8333,77.1333
2024-01-05,Uttarkashi,42108.0,,,3.3,,,30.7333,78.45
